Frames,Timestamp,fundamental_freq,pid,qid,voice_label
392,5.1281457430145645,,40,13,no
393,5.138188798260945,,40,13,no
394,5.148231853507325,,40,13,no
395,5.158274908753706,,40,13,no
396,5.168317964000087,,40,13,no
397,5.178361019246466,,40,13,no
398,5.188404074492848,,40,13,no
399,5.198447129739228,,40,13,no
400,5.2084901849856085,,40,13,no
401,5.218533240231989,,40,13,no
402,5.228576295478369,,40,13,no
403,5.23861935072475,,40,13,no
404,5.24866240597113,,40,13,no
405,5.258705461217511,,40,13,no
406,5.268748516463892,,40,13,no
407,5.278791571710272,,40,13,no
408,5.288834626956652,,40,13,no
409,5.298877682203033,,40,13,no
410,5.308920737449413,,40,13,no
411,5.318963792695794,,40,13,no
412,5.329006847942175,,40,13,no
413,5.339049903188555,,40,13,no
414,5.349092958434936,,40,13,no
415,5.359136013681316,,40,13,no
416,5.369179068927696,,40,13,no
417,5.379222124174077,,40,13,no
418,5.389265179420457,,40,13,no
419,5.3993082346668375,,40,13,no
420,5.409351289913218,,40,13,no
421,5.419394345159599,,40,13,no
422,5.4294374004059796,,40,13,no
423,5.43948045565236,,40,13,no
424,5.44952351089874,,40,13,no
425,5.459566566145121,,40,13,no
426,5.469609621391501,,40,13,no
427,5.4796526766378815,,40,13,no
428,5.489695731884263,,40,13,no
429,5.499738787130643,,40,13,no
430,5.5097818423770235,,40,13,no
431,5.519824897623404,,40,13,no
432,5.529867952869784,,40,13,no
433,5.539911008116165,,40,13,no
434,5.549954063362545,,40,13,no
435,5.559997118608925,,40,13,no
436,5.570040173855306,,40,13,no
437,5.580083229101687,,40,13,no
438,5.5901262843480675,,40,13,no
439,5.600169339594448,,40,13,no
440,5.610212394840828,,40,13,no
441,5.620255450087209,,40,13,no
442,5.630298505333589,,40,13,no
443,5.640341560579969,162.44747604839344,40,13,yes
444,5.650384615826351,164.67585436161536,40,13,yes
445,5.660427671072731,167.4370389083508,40,13,yes
446,5.670470726319111,168.99768388405585,40,13,yes
447,5.680513781565492,170.30342524062007,40,13,yes
448,5.690556836811872,170.15150316839313,40,13,yes
449,5.700599892058253,166.4529114661054,40,13,yes
450,5.710642947304633,161.78524615201408,40,13,yes
451,5.720686002551013,158.2730504103519,40,13,yes
452,5.730729057797394,158.79935515120286,40,13,yes
453,5.740772113043775,157.80145914999326,40,13,yes
454,5.750815168290155,160.53546923460357,40,13,yes
455,5.760858223536536,164.28894428414816,40,13,yes
456,5.770901278782916,,40,13,no
457,5.7809443340292965,,40,13,no
458,5.790987389275677,,40,13,no
459,5.801030444522057,180.55195590821785,40,13,yes
460,5.811073499768439,168.29162751871704,40,13,yes
461,5.821116555014819,163.94711337290397,40,13,yes
462,5.831159610261199,162.26105426333973,40,13,yes
463,5.84120266550758,158.7397884049488,40,13,yes
464,5.85124572075396,155.4972053468692,40,13,yes
465,5.8612887760003405,154.58412667384323,40,13,yes
466,5.871331831246721,154.2276338431255,40,13,yes
467,5.881374886493101,154.7226237422436,40,13,yes
468,5.891417941739482,155.6490373115167,40,13,yes
469,5.901460996985863,156.32719617929789,40,13,yes
470,5.911504052232243,156.619115846803,40,13,yes
471,5.921547107478624,156.8615323201972,40,13,yes
472,5.931590162725004,156.8516481711259,40,13,yes
473,5.941633217971384,156.8732648291943,40,13,yes
474,5.951676273217765,155.6653750637438,40,13,yes
475,5.961719328464145,153.68599869910022,40,13,yes
476,5.9717623837105265,152.72083601453963,40,13,yes
477,5.981805438956907,149.56460030546916,40,13,yes
478,5.991848494203287,148.24655936360008,40,13,yes
479,6.001891549449668,150.2828392506288,40,13,yes
480,6.011934604696048,152.00627423277226,40,13,yes
481,6.021977659942428,,40,13,no
482,6.032020715188809,,40,13,no
483,6.042063770435189,,40,13,no
484,6.0521068256815695,,40,13,no
485,6.062149880927951,,40,13,no
486,6.072192936174331,,40,13,no
487,6.082235991420712,,40,13,no
488,6.092279046667092,,40,13,no
489,6.102322101913472,,40,13,no
490,6.112365157159853,,40,13,no
491,6.122408212406233,,40,13,no
492,6.132451267652614,,40,13,no
