frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
165,0,6.832999999999999,0.98,1,-19.2,27.5,250.1,-0.14800000000000002,-0.045,0.125
166,0,6.875,0.98,1,-19.9,27.5,249.7,-0.152,-0.048,0.127
167,0,6.917000000000001,0.98,1,-20.2,27.7,250.3,-0.15,-0.046,0.125
168,0,6.957999999999999,0.98,1,-20.3,27.9,250.0,-0.151,-0.042,0.122
169,0,7.0,0.98,1,-20.5,28.4,250.1,-0.152,-0.043,0.121
170,0,7.042000000000001,0.98,1,-21.0,29.0,250.0,-0.154,-0.040999999999999995,0.11699999999999999
171,0,7.082999999999999,0.98,1,-21.5,29.2,250.4,-0.166,-0.039,0.114
172,0,7.125,0.98,1,-21.7,29.2,250.7,-0.179,-0.046,0.113
173,0,7.167000000000001,0.98,1,-21.8,29.3,250.3,-0.18899999999999997,-0.051,0.113
174,0,7.207999999999999,0.98,1,-21.7,29.7,250.5,-0.18600000000000003,-0.054000000000000006,0.11699999999999999
175,0,7.25,0.98,1,-21.8,30.1,250.4,-0.193,-0.054000000000000006,0.11599999999999999
176,0,7.292000000000001,0.98,1,-21.7,30.5,250.9,-0.18899999999999997,-0.054000000000000006,0.11800000000000001
177,0,7.332999999999999,0.98,1,-21.2,30.3,250.6,-0.19,-0.059000000000000004,0.11800000000000001
178,0,7.375,0.98,1,-20.8,30.1,250.7,-0.19,-0.057999999999999996,0.11599999999999999
179,0,7.417000000000001,0.98,1,-20.4,30.1,250.0,-0.184,-0.055999999999999994,0.11699999999999999
180,0,7.457999999999999,0.98,1,-20.0,30.6,249.5,-0.16899999999999998,-0.057999999999999996,0.11699999999999999
181,0,7.5,0.98,1,-19.9,30.3,250.2,-0.172,-0.055999999999999994,0.11199999999999999
182,0,7.542000000000001,0.98,1,-19.5,29.8,249.8,-0.171,-0.064,0.10800000000000001
183,0,7.582999999999999,0.98,1,-19.4,30.0,250.9,-0.16399999999999998,-0.064,0.107
184,0,7.625,0.98,1,-19.4,30.1,250.9,-0.165,-0.063,0.11
185,0,7.667000000000001,0.98,1,-19.3,29.6,249.9,-0.182,-0.064,0.11199999999999999
186,0,7.707999999999999,0.98,1,-19.3,29.1,250.7,-0.20199999999999999,-0.057,0.11
187,0,7.75,0.98,1,-19.3,28.4,251.5,-0.21100000000000002,-0.05,0.111
188,0,7.792000000000001,0.98,1,-19.1,28.2,253.4,-0.212,-0.048,0.10800000000000001
